Job Posting,Job Requisition,Posted Internally Only,Job Requisition ID,Job Requisition Status,Supervisory Organization,Group,Account Group,IMT,Team,Job Profile,Job Requisition Type,Management Level,Remote Delivery,Primary Location,Primary Location State/Province,Primary Location Country,Locations,Required Clearance,Clearance Agency,Time Type,Recruiting Start Date,Job Type,Job Family,Job Family Group,Job Description,Job Profile Skills,Contract
AFSIM Mission Analyst,R0217487 AFSIM Mission Analyst (Open),,R0217487,Open,Supervisory Organization (Bradley Cooper (539538)),Global Defense Group,Air Force Acct Group,Air Force IMT,TE&S Specialized,"Aerospace Engineer, Senior Consultant",Contingent Funding,Senior Consultant,Client Site/Booz Allen Office Delivery,"Beavercreek, OH",Ohio,United States of America,"Beavercreek, OH",TS/SCI,DOD SCI,Full time,3/28/25,Regular,Aerospace Engineer,Engineering & Science Professional,"The Opportunity: 
Are you looking for an opportunity to combine your technical skills with big picture thinking to make an impact in national defense and combat weapon system design? You understand your customer’s environment and how to develop the right models for their mission. Your ability to translate real-world needs into technical specifications makes you an integral part of delivering a customer-focused engineering solution.

As a systems engineer on our team, you’ll have the chance to assess and evaluate combat weapon systems using computer-based analytical tools, including the Advanced Framework for Simulation, Integration, and Modeling (AFSIM) analytical framework, MATLAB, and additional in-house tools. Your technical expertise will be vital as you evaluate combat weapon system concepts. You’ll directly impact the Department of Defense’s mission by helping to determine what system attributes and operational tactics improve survivability in simulated threat environments. The analyses you perform will help the acquisition community make more informed investment decisions pertaining to future combat systems. You’ll develop your skills in critical thinking, data analytics, and operations analysis while gaining experience in constructive modeling and simulation of combat operations. Join our team and help turn requirements into accomplishments that drive change.

Join us. The world can’t wait.

You Have: 
1+ years of experience using the AFSIM analytical framework for operational analysis
Experience performing analysis of military technologies and integrated defense systems
Experience developing scripts or code for data analysis
Ability to leverage problem-solving to overcome engineering or code development challenges
Ability to distill, summarize, and articulate complex technical insights and findings
Ability to work in a dynamic team environment
Secret clearance
Bachelor’s degree in Engineering, Mathematics, Physics, or Computer Science

Nice If You Have: 
2+ years of experience using AFSIM for mission modeling
2+ years of experience with data analytics or software development in an academic or professional environment
Experience with the Linux operating environment
Knowledge of U.S. and foreign combat weapon systems, including aircraft and ground-based air defense systems
Possession of excellent verbal and written communication skills
TS/SCI clearance
Master's degree in a Science, Technology, Engineering, or Mathematics field

Clearance: 
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.","Acoustics

Aerodynamics

Aeronautics

Aerospace

Astrodynamics

Astrophysics

Atmospheric Sciences

Computational Fluid Dynamics (CFD)

Corrosion Engineering

Guidance, Navigation and Control (GNC)

Human Spaceflight

Hypersonics

Microgravity

Missile Design

Orbital Mechanics

Propulsion

Spacecraft Systems

Space Environment

Stress-Strain Analysis

Structures

Thermodynamics

Unmanned Aerial Vehicles",AFRL/RQ AFSIM FORGE
AFSIM Mission Analyst,R0217488 AFSIM Mission Analyst (Open),,R0217488,Open,Supervisory Organization (Bradley Cooper (539538)),Global Defense Group,Air Force Acct Group,Air Force IMT,TE&S Specialized,"Aerospace Engineer, Senior Consultant",Contingent Funding,Senior Consultant,Client Site/Booz Allen Office Delivery,"Beavercreek, OH",Ohio,United States of America,"Beavercreek, OH",TS/SCI,DOD SCI,Full time,3/28/25,Regular,Aerospace Engineer,Engineering & Science Professional,"The Opportunity: 
Are you looking for an opportunity to combine your technical skills with big picture thinking to make an impact in national defense and combat weapon system design? You understand your customer’s environment and how to develop the right models for their mission. Your ability to translate real-world needs into technical specifications makes you an integral part of delivering a customer-focused engineering solution.

As a systems engineer on our team, you’ll have the chance to assess and evaluate combat weapon systems using computer-based analytical tools, including the Advanced Framework for Simulation, Integration, and Modeling (AFSIM) analytical framework, MATLAB, and additional in-house tools. Your technical expertise will be vital as you evaluate combat weapon system concepts. You’ll directly impact the Department of Defense’s mission by helping to determine what system attributes and operational tactics improve survivability in simulated threat environments. The analyses you perform will help the acquisition community make more informed investment decisions pertaining to future combat systems. You’ll develop your skills in critical thinking, data analytics, and operations analysis while gaining experience in constructive modeling and simulation of combat operations. Join our team and help turn requirements into accomplishments that drive change.

Join us. The world can’t wait.

You Have: 
1+ years of experience using the AFSIM analytical framework for operational analysis
Experience performing analysis of military technologies and integrated defense systems
Experience developing scripts or code for data analysis
Ability to leverage problem-solving to overcome engineering or code development challenges
Ability to distill, summarize, and articulate complex technical insights and findings
Ability to work in a dynamic team environment
Secret clearance
Bachelor’s degree in Engineering, Mathematics, Physics, or Computer Science

Nice If You Have: 
2+ years of experience using AFSIM for mission modeling
2+ years of experience with data analytics or software development in an academic or professional environment
Experience with the Linux operating environment
Knowledge of U.S. and foreign combat weapon systems, including aircraft and ground-based air defense systems
Possession of excellent verbal and written communication skills
TS/SCI clearance
Master's degree in a Science, Technology, Engineering, or Mathematics field

Clearance: 
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.","Acoustics

Aerodynamics

Aeronautics

Aerospace

Astrodynamics

Astrophysics

Atmospheric Sciences

Computational Fluid Dynamics (CFD)

Corrosion Engineering

Guidance, Navigation and Control (GNC)

Human Spaceflight

Hypersonics

Microgravity

Missile Design

Orbital Mechanics

Propulsion

Spacecraft Systems

Space Environment

Stress-Strain Analysis

Structures

Thermodynamics

Unmanned Aerial Vehicles",AFRL/RQ AFSIM FORGE
AI and ML Technical Lead,R0217570 AI and ML Technical Lead (Open),,R0217570,Open,Supervisory Organization (Katherine LeVan (563164)),National Security Group,Intel Acct Group,Intel IMT,TE&S Specialized,"Software Engineer - Artificial Intelligence, Associate",Immediately Billable,Associate,Client Site/Booz Allen Office Delivery,"Fort Meade, MD",Maryland,United States of America,"Fort Meade, MD",TS/SCI w/CIP,DOD SCI,Full time,3/28/25,Regular,Software Engineer,Technology,"The Opportunity:
As an experienced engineer, you know that machine learning is critical to understanding and processing massive datasets. Your ability to conduct statistical analyses on business processes using ML techniques makes you an integral part of delivering a customer-focused solution. We need your technical knowledge and desire to problem-solve to support artificial intelligence and machine learning initiatives. As a machine learning engineer on our team, you’ll train, test, deploy, and maintain models that learn from data.   

In this role, you’ll own and define the direction of mission-critical solutions by applying best-fit ML algorithms and technologies. You’ll be part of a large community of machine learning engineers across the company and collaborate with other engineers to deliver world-class solutions. Your skills and extensive technical expertise will guide clients as they navigate the landscape of ML algorithms, tools, and frameworks. 

Work with us to solve real-world challenges and define ML strategy.

Join us. The world can’t wait. 

You Have:

10+ years of experience building enterprise web applications

Experience with AWS, including CloudFormation, CodePipeline, or ECS

Experience with front-end frameworks, including React or Angular

Experience with back-end frameworks, including FastAPI, Flask, or Django

Experience with administration of continuous integration and continuous deployment (CI/CD) pipelines using Jenkins or GitHub actions

Experience with SQL syntax and queries and API development, including REST architectures

Ability to lead design and code reviews and address findings within a collaborative, cross-functional team

TS/SCI clearance with a polygraph

Bachelor's degree


Nice If You Have:   

Experience with Python, TypeScript, and JavaScript

Experience with NLP, including Transformers and vector databases

Experience with Generative AI and LLMs

Master’s degree  

DoD 8570 Security+ or CISSP Certification


Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.","A/B Testing

Agile Methodology

Algorithm Selection

Artificial Intelligence (AI)

Data Storytelling

Deep Learning

Edge Computing

Feature Selection

Generative AI

Java

Large Language Models (LLMs)

Machine Learning

Machine Learning-Based Natural Language Processing (NLP)

Microservices Architecture

Model Development

Model Tuning

Model Versioning

Python (Programming Language)

Requirements Analysis

Scala

Scripting Languages",J5 RS3
"All-Source Intelligence Analyst, Senior","R0217170 All-Source Intelligence Analyst, Senior (Open)",,R0217170,Open,Supervisory Organization (Daniel Adams (583612)),Civil Group,Domestic Resil Acct Grp,Domestic Resilience IMT,TE&S Specialized,"Cyber Intelligence Analyst, Associate",Contingent Client or Prime Approval,Associate,Client Site/Booz Allen Office Delivery,"Washington, DC",District of Columbia,United States of America,"Washington, DC",Top Secret,Other,Full time,3/28/25,Regular,Cyber Intelligence Analyst,Technology,"Key Role:
Leverage technical and analytic expertise to evaluate cyber threats to U.S. critical infrastructure. Produce all-source, strategic cyber intelligence assessments using various industry and government tools and classified and unclassified data sets. Identify, investigate, and analyze cyber events of intelligence significance. Communicate findings to policy and operational decision makers through a broad range of written intelligence products and verbal presentations while adhering to intelligence community tradecraft. Support cyber operations pursuing anomalies and cyber threats on Information Technology and Industrial Control System networks. Perform other cyber intelligence-related duties, as needed.

Basic Qualifications:
8+ years of experience in all-source intelligence analysis
Experience producing finished intelligence analysis for different customer levels, and organizing and conducting strategic intelligence assessments by researching, evaluating, and integrating all-source data in the production of strategic all-source intelligence assessments
Experience with IC-level writing, IC production coordination processes, and writing strategic intelligence assessments that comply with ICD 203 standards
Experience providing all-source intelligence briefings to customers with varying levels of expertise
Knowledge of IC analytic tradecraft, including structured analytic techniques
Knowledge of the mission, structure, policies, and key intelligence programs of the U.S. intelligence community
Top Secret clearance
Bachelor's degree

Additional Qualifications:
Knowledge of the U.S. energy sector or other critical infrastructures
Knowledge of Advanced Persistent Threats and state-sponsored cyber adversaries
Knowledge of threats to Industrial Control Systems
Ability to work across multiple organizations, including with government and industry partners
Ability to work independently while displaying sound judgment
Possession of excellent verbal and written communication skills
TS/SCI clearance

Clearance:Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Top Secret clearance is required.","Analytical Thinking

Client Consulting

Critical Thinking

Cybersecurity

Cyber Threat Intelligence

Decision Making

Group Problem Solving

Information Security

Information Technology Security

Intelligence Analysis

Intelligence Community

Network Engineering

Network Security Management

Signals Intelligence (SIGINT)",NRG - Pink Panther
"Back End Engineer, Senior","R0213807 Back End Engineer, Senior (Open)",,R0213807,Open,Supervisory Organization (Kimberly Shurupoff (618121)),National Security Group,National Cyber Acct Group,National Cyber IMT,TE&S Specialized,"Software Engineer - Back End, Associate",Contingent Client or Prime Approval,Associate,Client Site/Booz Allen Office Delivery,"Fort Meade, MD",Maryland,United States of America,"Fort Meade, MD",TS/SCI w/FSP,NSA,Full time,3/28/25,Regular,Software Engineer,Technology,"The Opportunity:  
As a back-end developer, you know that a good site or system needs the right combination of clean code, APIs, analytics, and infrastructure to develop a user-focused solution. We’re looking for an experienced back-end developer with the software engineering skills it takes to identify potential risks, contribute to solution development, and create efficient and effective systems for our clients. 

As a back-end developer at Booz Allen, you’ll use the latest architectural approaches and open-source frameworks and tools to deliver solutions. Using your software engineering experience, you’ll work with the development team to create custom tools, systems, and sites with consistent performance and scalability. 

In this role, you’ll make a mission-forward impact as you further your skillset and career. Work with us as we shape systems for the better.  

Join us. The world can’t wait. 

You Have: 

Experience with Linux CLI

Experience in large-scale proactive monitoring, including dashboarding, metrics, Splunk or Syslog log files, and automation software

Experience with the Atlassian Tool Suite like JIRA or Confluence

Experience executing test codes for the characterization of software performance

Knowledge of scripting tools, such as Shell, Python, Perl or Go

Knowledge of storage technologies, such as Lustre or Netapp OnTap

TS/SCI clearance with a polygraph

Bachelor's degree in Technology and 8+ years of experience in Technology, or 13+ years of experience in technology in lieu of a degree


 Nice If You Have:  

 Experience with Java, JavaScript, SQL, Python, Server-Side Development, Middleware, Application or Data Integration, API Development, Core Application Systems, Node.js, Groovy, Scala, Spring Cloud, Spring Core, Spring-Boot, or Spring Data 

Experience writing source code for new applications or generating and enhancing code samples for existing applications 

Experience acquiring client requirements and resolving workflow problems through automation optimization 

Ability to work with automated testing tools to perform testing and maintenance 

Master’s degree  


Clearance: 
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.","Active Learning (Inactive)

Agile Methodology​

Critical Thinking

Decision Making

Detail-Oriented

Extreme Programming​

Git

Java

JavaScript

Problem Solving

Python (Programming Language)

Software Engineering

Software Product Management

Software Products

Structured Query Language (SQL)",MD Client_ID SIE3 (Position Number 200)
"Business Financial Manager, Senior","R0215384 Business Financial Manager, Senior (Open)",,R0215384,Open,Supervisory Organization (Robert Faulkner | Bob Faulkner (590882)),Global Defense Group,Defense Technology Group,DARPA Advisory Services,M&I Core,"Program/Project Management Specialist, Associate",Contingent Funding,Associate,Hybrid Delivery,"Arlington, VA",Virginia,United States of America,"Arlington, VA",Secret,DOD,Full time,3/28/25,Regular,Program/Project Management Specialist,Consulting & Mission Operations,"Key Role:
Support the Defense Advanced Research Projects Agency (DARPA) in managing the full life cycle of large-scale research and development efforts in microelectronics. Become a part of a cross-functional team working to shape, solicit, procure, and execute complex scientific programs. Apply expertise, strategic planning, program and project management, budgeting and financial execution, document creation, and administrative and logistical coordination. Analyze innovative solutions to complex problems. Execute independently in a fast-paced environment directly with government program managers and other clients.

Basic Qualifications:

5+ years of experience managing programs in a DoD environment

5+ years of experience managing the finances in a DoD program

Experience supporting the development of program budgets, schedules, and tracking of financial commitments, obligations, and expenditures

Experience with new program acquisition, solicitations, and contracting actions

Secret clearance

Bachelor's degree


Additional Qualifications:

Experience providing analysis and support to defense research and development programs

Experience working with the Defense Agencies Initiative financial system

Experience generating military interdepartmental purchase requests or purchase request documents

Experience working with advanced research project agencies, including DARPA

Ability to exhibit flexibility, adaptability, and teamwork

TS/SCI clearance

Bachelor's degree in Finance, Accounting, or Economics


Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.","Business Analytics

Business Cases

Business Performance Management

Change Management

Data Compilation

Data Reporting

Deliverables Management

Earned Value Management (EVM)

Group Problem Solving

Long Term Planning

Program Management

Project Delivery

Project Planning

Quality Management

Reviewing Contracts

Risk Management

Tactical Planning

Waterfall Model",JDA_DARPA_MOTO
"Business Planning and Pricing Product Manager, Director","R0216648 Business Planning and Pricing Product Manager, Director (Open)",,R0216648,Open,Supervisory Organization (Mujtaba Hamid (644114)),Corporate Core,PBR Operations,Office of Product IMT,Executive PBR Operations,"Pricing Analyst, Principal/Director",Non Billable,Principal/Director,Hybrid Delivery,"McLean, VA",Virginia,United States of America,"McLean, VA",,,Full time,3/28/25,Regular,Pricing Analyst,Internal Professional,"Key Role:
Define and deliver Product Pricing and Packaging strategy for the Product function at Booz Allen. Work on high priority mission-centric products and market expansion initiatives while serving as a trusted advisor to senior leaders providing thought leadership on financial components that impact the company's market expansions and the ability to meet financial goals. Work with leaders to gather and evaluate customer feedback and validation with both quantitative and qualitative metrics. Contribute to marketing activities and conduct data analysis to identify opportunities for building business. Lead and deliver the development of complex cost and price-related strategies and activities to include research, analysis, strategy conceptualization, financial, cost, and price modeling, development and communication for the company’s critical new product initiatives. Continually contribute to overall proposed solution designs, designing and aligning cost strategies to technical solutions aligned with the company’s financial performance metrics, identifying the optimal price for Booz Allen products and mitigating risk. Due to the nature of work performed within this facility, U.S. citizenship is required.

Basic Qualifications:

8+ years of experience in technology product pricing and packaging strategy for software, cloud services and systems

Experience in driving execution against pricing strategy

Experience delivering strong business strategy and analytics to drive bottom line results for new product launches

Experience in aligning product pricing and monetization strategy with finance and business operations

Experience in engaging with technical and business leadership to land pricing strategy

Bachelor’s degree


Additional Qualifications:

Experience working with US Government mission customers

Experience working in corporate strategy

Possession of exceptional problem-solving, analytical, and critical thinking skills

Possession of excellent leadership skills

Possession of excellent verbal and written communication skills","Audits Compliance

Business Economics

Commercial Acumen

Communication

Competitive Markets

Contract Management

Negotiation

Organizational Savvy

Project Accounting

Proposals

Quantitative Methods

Results-Oriented",Business Planning & Pricing
C4I Shore Maintenance and Modernization Analyst,R0216209 C4I Shore Maintenance and Modernization Analyst (Open),,R0216209,Open,Supervisory Organization (Erin Deighan (631601)),Global Defense Group,NMC Acct Group,HQ & Operations IMT,TE&S Core,"Business Analyst - IT, Senior Consultant",Immediately Billable,Senior Consultant,Client Site/Booz Allen Office Delivery,"Suffolk, VA",Virginia,United States of America,"Suffolk, VA",TS/SCI,DOD SCI,Full time,3/28/25,Regular,Business Analyst - IT,Technology,"The Opportunity: 
You'll evaluate C4I systems for the Navy, including network and power drawings, accreditation, and configuration management. You'll assist with policy education and document uploads to repositories like SPIDER and Model Based Product Support (MBPS.) Additionally, you'll support modernization processes, maintain configuration management information, validate data, and manage applications. You'll also review and analyze installation artifacts and work with program offices to resolve issues.

Join us. The world can’t wait. 

You Have: 

3+ years of experience in a maintenance and modernization staff position on a Navy Functional Command, Navy Component Command, or Navy Echelon III or above staff

3+ years of experience in a maintenance and modernization position related to, AMPS, SKED, AWN, or SPIDER

Knowledge of the OPNAV Planning, Programming, Budgeting, and Execution (PPBE) process

Ability to prepare briefs and white papers for presentation for clients

TS/SCI clearance

HS diploma or GED

  
Nice If You Have: 

5+ years of experience as an action officer with military maintenance and modernization on a Navy Functional Command, Navy Component Command, or Joint, Service, or Echelon III or above staff

3+ years of experience with Shore-based C4I working as a technician, SMMO, EMO, or maintenance or modernization positions found within the JFMM

Experience performing Maintenance and Material Management (3-M) functions in a supervisory role

Bachelor’s degree

Completion of Model Based Product Support (MBPS) Technical Data Manager (TDM) training

Completion of Reliability Centered Maintenance (RCM) course


Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance is required.","Agile Methodology

Analytical Thinking

Business Analysis

Business Cases

Client Service Excellence

Customer Needs (Inactive)

Information Capture

IT Best Practices

IT Policies

IT Procedures

Long Term Planning

Oral Communications

Requirements Analysis

Requirements Gathering

Software Development

User Experience (UX)

Workflow Analysis

Written Communication",MOC TYCOM
CAD Drafter,R0216912 CAD Drafter (Open),,R0216912,Open,Supervisory Organization (Joseph Herring | Shaun Herring (569653)),Global Defense Group,Defense Technology Group,DEFTECH Serv & Soln,TE&S Core,"Non-Ex Drafter, Senior Consultant",Immediately Billable,Senior Consultant,Client Site/Booz Allen Office Delivery,"Panama City, FL",Florida,United States of America,"Panama City, FL",Secret,DOD,Full time,3/28/25,Regular,Drafter,Engineering & Science Professional,"Key Role:
Prepare electro-mechanical technical drawings and documentation. Develop detailed design specifications for products and structures and specify dimensions, materials, and procedures. Communicate and collaborate with internal and external, as well as technical and non-technical, stakeholders at all levels to ensure the quality and accuracy of drawings, models, and other written deliverables. Apply knowledge of program and project requirements, policies, and procedures. Perform moderately difficult support tasks. Work independently with minimal supervision and follow general instruction.

Basic Qualifications:

5+ years of experience working with mechanical 3D modeling and 2D computer-aided drafting (CAD) in a professional environment

Knowledge of dimensioning and tolerancing for 2D drawing development

Knowledge of 3D modeling techniques and best practices

Ability to support SOLIDWORKS and AutoCAD

Ability to develop detailed technical documentation, including 2D technical drawings, detailed bills of material, and associated written technical documentation

Ability to collaborate with an integrated product team, including a variety of technical and non-technical teammates

Ability to obtain a Secret clearance

HS diploma or GED


Additional Qualifications:

Experience with hardware design, development, model-based definition, prototyping, and integration of electromechanical prototype or military systems

Experience with 3D modeling programs such as CREO, Solid Edge, or Inventor

Experience performing peer reviews or drawing checking, Configuration Management, or SOLIDWORKS PDM

Knowledge of fabrication, assembly, and modern manufacturing technologies, including additive manufacturing techniques such as 3D printing and subtractive manufacturing techniques such as CNC

Knowledge of ASME Y14 standards

Secret clearance

SOLIDWORKS, AutoCAD, or ASME GD&T Certification


Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.","3D Software

Accuracy

Analytical Thinking

Computer-Aided Design (CAD)

Computer Aided Engineering (CAE)

Data Capturing

Data Measurement

Die Design

Engineering

Graphic Visualization

Manufacturing Technologies

Product Design

Quality Control (QC)

Standard Operating Procedure (SOP)

Tooling Design",TETRAS
"Chief AI Engineer, Senior Manager","R0199519 Chief AI Engineer, Senior Manager (Open)",Yes,R0199519,Open,Supervisory Organization (Bryan Castle (513650)),CTO Group,CTO AcctGrp,CTO IMT,TE&S Specialized,"Artificial Intelligence Solution Architect, Senior Associate",Immediately Billable,Senior Associate,Hybrid Delivery,"Washington, DC",District of Columbia,United States of America,"Washington, DC",Eligibility Determination Timeline,Other,Full time,3/28/25,Regular,Artificial Intelligence Solution Architect,Technology,"Key Role: 
Act as a chief engineer overseeing a dynamic engineering team in the design, development and delivery of software engineering framework and toolkit for developing enterprise AI solutions. Provide senior engineering expertise and mentoring to mid-to-large sized engineering teams to ensure software engineering designs and implements meet team standards for quality and reusability. Work with cross-functional teams to ensure timely and quality delivery of capabilities and services. Act as a strategic advisor, align solutions with business needs, create innovative approaches to address client requirements, and build collaborative internal and external relationships with clients and partners. Provide technical and project management support towards the delivery of a large-scale data, analytical and AI capabilities. Interact with senior leadership in establishing and managing scope, schedule and milestones, risk, and quality delivery of capabilities, services, and deliverables.  

Basic Qualifications: 

12+ years of experience leading large multi-team software development projects, including architecture solutioning, defining technical designs, and overseeing all aspects of delivery 

10+ years of experience with software development in one or more object-oriented programming languages, and with data structures and algorithms 

Experience leading an engineering team in the development and maintenance of a production system 

Experience in service-oriented architecture principles for designing open, modular software systems 

Experience with modern technologies, including Agile, DevOps, Cloud, and open platforms 

Experience designing and developing large software systems or reusable frameworks 

Ability to lead discussions with various stakeholders to conduct strategic planning, define business objectives, prioritize engineering goals, and mitigate risks 

Ability to obtain a security clearance 

Bachelor's degree  


Additional Qualifications: 

Experience in designing and developing scalable data workflows using tools, including Apache Spark or other tools for parallel processing large datasets 

Experience with different data storage technologies and databases, including data lakes, relational, non-relational, and graph data storage

Experience developing machine learning and artificial intelligence solutions 

Possession of excellent verbal and written communication skills 


Clearance: 
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.","Agile Methodology

Artificial Intelligence Planning

Artificial Intelligence Products

Artificial Intelligence Prototype Development

Artificial Intelligence Workflows

Cognitive Computing

Computer Graphics

Computer Vision

Critical Thinking

Decision Making

Deep Learning

Ethical Risk Assessment

Machine Learning

Natural Language Processing (NLP)

Product Development Lifecycle

Quality Management

Requirements Analysis

Resource Coordination

Responsible AI

Solution Architecture

Speech Technologies

Systems Integration

Technology Integrations

Voice Recognition Software

Waterfall Model",aiSSEMBLE
Chief Generative AI Engineer,R0217175 Chief Generative AI Engineer (Open),Yes,R0217175,Open,Supervisory Organization (Chuhong Lahlou | Chu Lahlou (601144)),CTO Group,CTO AcctGrp,CTO IMT,TE&S Specialized,"Artificial Intelligence/Machine Learning Engineer, Senior Associate",Non Billable,Senior Associate,Hybrid Delivery,"McLean, VA",Virginia,United States of America,"Bethesda, MD

McLean, VA

Washington, DC",,,Full time,3/28/25,Regular,Artificial Intelligence/Machine Learning Engineer,Technology,"Key Role:
Be responsible for leading engineering teams to create, implement, and scale reusable GenAI assets that can accelerate the delivery and quality of GenAI solutions for our clients. Contribute to the engineering of IP/IC, such as solution accelerators and managed services, that can generate new revenue streams and expand our market presence. Work closely with market integration teams to support the sales and delivery of these assets, as well as collect and incorporate feedback from the market to continuously improve and evolve our GenAI IP/IC. Provide thought leadership and demonstrate your expertise by transforming cutting-edge research and experimentation into proven capabilities, presenting at conferences, publishing in journals, and contributing to workshops.

Basic Qualifications

8+ years of experience with python development geared toward cloud solutions

5+ years of experience with operationalizing machine learning applications (MLOps), methods for testing, evaluating, and governing ML models, API design, Containerization, DevOps

3+ years of experience with applying large language and generative AI models, including transformers, GPT models and experience architecting agent systems​

3+ years of experience with managing or leading high-performing Agile teams

Ability to become competent in branches of machine learning

Ability to distill complex technical concepts into easily understood summaries consumable by business leaders with a non-technical background

Bachelor’s degree in Computer Science, Mathematics, or Engineering


Additional Qualifications

Experience managing high-impact technical programs, internal to Booz Allen or for client deliveries

Master’s degree in Computer Science, Mathematics, or Engineering","A/B Testing

Agile Methodology

Algorithm Selection

Artificial Intelligence (AI)

Data Storytelling

Deep Learning

Edge Computing

Feature Selection

Generative AI

Java

Large Language Models (LLMs)

Machine Learning

Machine Learning-Based Natural Language Processing (NLP)

Microservices Architecture

Model Development

Model Tuning

Model Versioning

Python (Programming Language)

Requirements Analysis

Scala

Scripting Languages",
Civil Engineering Planning and Programming Specialist,R0209040 Civil Engineering Planning and Programming Specialist (Open),,R0209040,Open,Supervisory Organization (Romeo Miranda (519889)),Global Defense Group,Defense Technology Group,DEFTECH Serv & Soln,TE&S Specialized,"Civil Engineer, Associate",Immediately Billable,Associate,Client Site/Booz Allen Office Delivery,"Vandenberg AFB, CA",California,United States of America,"Vandenberg AFB, CA",,,Full time,3/28/25,Regular,Civil Engineer,Engineering & Science Professional,"Key Role: 
Support the execution of a space launch infrastructure roadmap to meet the client’s vision. Support engineering efforts and evaluate project planning and programming documents, and design documents. Advise on project feasibility, cost effectiveness, regulatory conformance, or possible alternatives. Conduct field investigations or research to compile and analyze data. Work closely with the Environmental Assessment Lead to aid in developing NEPA and other environmental review documents, as well as support the design and construction contractors with the acquisition of environmental permits. Augment the project management support sections of space launch by performing project planning and programming support duties, including programmatic support in formulating and implementing facility planning and capital investment initiatives for DoD military construction projects, such as program development and support, DD Form 1391 development and reviews, strategic facilities planning and management, feasibility studies, and general program and project implementation. Provide direct interface and frequent communications with Government points of contact and be responsible for advising the designated points of contact of the status of the work.

Basic Qualifications: 

7+ years of experience with facilities management and civil engineering project management with planning and programming assistance to client programs geared towards strategic facilities planning, capital investment planning, and construction program management

Experience working with the NEPA process

Knowledge of facilities operations and maintenance

Ability to work directly with clients applying principles of the civil engineering enterprise, including policy and guidance

Ability to be highly motivated, and demonstrate a dynamic work ethic and desire to contribute to the mission

Ability to use Microsoft SharePoint and Teams in a collaborative environment

Ability to prepare and deliver presentations using Microsoft PowerPoint

Bachelor’s degree


Additional Qualifications: 

Experience with planning and permitting for construction projects in California

Experience working in a flexible environment and interacting with multiple stakeholders for project success

Experience working within the NexGen platform

Knowledge of the California Coastal Commission, U.S. Fish and Wildlife Service environmental policy, and California State environmental regulations

Possession of excellent written and verbal communication skills","Building Compliance

Civil Engineering

Construction Drawings

Construction Engineering

Construction Inspections

Construction Management

Construction Projects

Construction Quality Assurance

Construction Safety

Construction Specifications

Cost Management

Long Term Planning

Program Management

Project Management

Strategic Planning

Structural Engineering

Tactical Planning

Value Management",Navy_SLD 30_Program Integration Office (PIO) Support
